Produit;Désignation;Vendeur;Raison sociale du vendeur;Expéditeur;Pays;Raison sociale de l'expéditeur;Identifiant appro;SGR;Ligne;Traitée;Rupture minimale;Nombre de jours couverture minimale;Rupture usine;Nombre de jours couverture usine;Rupture usine et parc;Nombre de jours couverture usine + parc;Rupture usine sans encours transport;Nombre de jours couverture sans encours transport;Stock Sens2;Stock départ Minimale;Stock départ usine;Stock départ usine et parc;SGR et ligne;Date fin série;Date transfert série;Date dernier RI;Dotation atelier;Sécu appro;Sécu LUO;Sécu NLIJ;Sécu douane;Unité;Sécu transport amont;Unité;Sécu transport aval;Unité;Sécu transport;Unité;CMJ JL Hebdo;CMJ JL Périodique;Quantité EO;Quantité EF;Quantité XC;Quantité RP;Quantité XP;Quantité DT;Quantité AT;Quantité EP;Quantité AS;Retard en EF/XP;Retard en RQ;Avance en RQ;Commentaire;Date Commentaire;Auteur du commentaire;Date du dernier calcul de couverture
1479072080;FILTRE RESERV;23054H  01;ROBERT BOSCH GMBH;22969R  53;France;ROBERT BOSCH FRANCE SAS;DEME CHRISTINE;CJ6;1;Non traitée;03/11/15 07:14;10,5;;0;;0;;0;977;-29;971;0;CJ6-1;;10/04/2000 02:00:00;;1000;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;600;M;34;36;0;500;0;0;0;0;0;0;0;0;500;0;;;;23/10/2015 16:06:02
7903006101;VIS CBLX M8-25;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 13:37;19,5;;0;;0;10/11/2015 10:36:15;17,5;2694;1062;2462;0;CJ6-1;;15/06/2009 02:00:00;;1400;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;458;505;2100;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:03:29
7903011385;VIS M6X100 L25 S;82109Y  01;ITW RIVEX;82109Y  01;France;ITW RIVEX;PENVEN CHRISTIAN;CJ2;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;22107;-7711;21189;0;CJ2-1;;15/04/2000 02:00:00;;28900;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;660;M;855;860;20800;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:05:15
7903011449;GOUJON K M6X100;83502M  01;TUCKER GMBH;83502M  06;Allemagne;TUCKER GMBH;GAUTIER CHRISTOPHE;CJ2;1;Non traitée;04/11/15 13:42;11,5;;0;;0;;0;60184;3400;58015;0;CJ2-1;;26/09/2005 02:00:00;;54615;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;2060;2095;16000;0;16000;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:30:50
7903011474;VIS CL CON M6*25;84247X  01;SOCIETE DES FORGES DE FRONCLES;84247X  01;France;SOCIETE DES FORGES DE FRONCLES;GAUTIER CHRISTOPHE;CJ2;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;24758;-1023;22097;0;CJ2-1;;01/06/2003 02:00:00;;23120;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;600;M;2479;2483;12000;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:07:20
7903011475;VIS CL CON M6*40;82109Y  01;ITW RIVEX;82109Y  01;France;ITW RIVEX;PENVEN CHRISTIAN;CJ2;1;Non traitée;12/11/15 14:05;19,5;;0;;0;;0;29865;17010;27185;0;CJ2-1;;31/03/2003 02:00:00;;10175;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;660;M;2906;2913;12800;12800;0;0;0;0;0;0;0;12800;0;0;;;;23/10/2015 16:07:34
7903042053;ECROU K H SOUD;34894C  01;LISI AUTOMOTIVE FORMER;34894C  01;France;LISI AUTOMOTIVE FORMER;MORVAN GILLES;CJ2;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;29746;-4886;26512;0;CJ2-1;;01/01/1996 01:00:00;;31398;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;660;M;3014;3015;20800;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:05:53
7903042062;ECROU KQ5.5 AC6;34894C  01;LISI AUTOMOTIVE FORMER;34894C  01;France;LISI AUTOMOTIVE FORMER;PENVEN CHRISTIAN;CJ2;1;Non traitée;04/11/15 07:37;11,5;;0;;0;;0;20326;742;19582;0;CJ2-1;;01/01/1996 01:00:00;;18840;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;660;M;709;708;0;0;6800;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:31:00
7903043003;ECROU M6X100;17213J  01;BOLLHOFF OTALU SA;17213J  01;France;BOLLHOFF OTALU SA;PENVEN CHRISTIAN;CJ6;1;Non traitée;03/11/15 07:54;10,5;;0;;0;;0;26693;197;18217;0;CJ6-1, CJ2-1;;01/01/1996 01:00:00;;18020;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;1423;1419;4500;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:06:58
7903085043;LANIERE K L100;52033G  01;HELLERMANNTYTON;52033G  05;France;HELLERMANNTYTON;HENRIO DOMINIQUE;CJ6;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;14226;-82156;13844;0;CJ6-1;;01/01/1996 01:00:00;;96000;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;420;M;644;648;0;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:09:38
