Produit;quai;SO;Désignation;Vendeur;Raison Sociale;Expéditeur;Raison Sociale;CU;DTS;DFS;% Actif;St FP;ID;Division;Nom site;Statut FP;Périmètre appro;ID appro
1400313880;JM5;A;CABLE(+)BATTERIE;52520L  02;ASSOCIATION BRETAGNE ATELIERS;52520L  02;ASSOCIATION BRETAGNE ATELIERS;CJ;07/10/2004 02:00;;100.00%;E;122962;;RENNES;Validé exécution;M2S;C175617
1401026980;JM5;A;ELEMENT ETANCHEI;15703T  04;SOFITEC;15703T  04;SOFITEC;CJ;04/06/2007 02:00;;100.00%;E;122963;;RENNES;Validé exécution;M5I;C175543
1479072080;JM5;A;FILTRE RESERV;23054H  01;ROBERT BOSCH GMBH;22969R  53;ROBERT BOSCH FRANCE SAS;CJ;10/04/2000 02:00;;100.00%;E;122964;;RENNES;Validé exécution;M3F;A170852
1482901080;JM5;A;CBL NEG BATT;52520L  02;ASSOCIATION BRETAGNE ATELIERS;52520L  02;ASSOCIATION BRETAGNE ATELIERS;CJ;15/03/2001 01:00;;100.00%;E;122965;;RENNES;Validé exécution;M2S;C175617
1490440080;JM5;A;RUPT MASSE;95835T  01;VIMERCATI SPA;95835T  02;VIMERCATI SPA;CJ;30/06/2003 02:00;;100.00%;E;122966;;RENNES;Validé exécution;M0F;C003082
1490944080;JM5;A;BUTEE PORTE;25813G  01;COOPER STANDARD FRANCE;25813G  01;COOPER STANDARD FRANCE;CJ;10/12/2007 01:00;;100.00%;E;122967;;RENNES;Validé exécution;MSB;A170852
14992630XT;JM5;A;POMMEAU CDE STD;48985U  01;BOURBON AUTOMOTIVE PLASTICS;A000YP  01;BOURBON AUTOMOTIVE PLASTICS Jura;CJ;16/01/2006 01:00;;100.00%;E;122968;;RENNES;Validé exécution;M5B;C175543
14992640ZD;JM5;A;POMMEAU CDE CUIR;48985U  01;BOURBON AUTOMOTIVE PLASTICS;A000YP  01;BOURBON AUTOMOTIVE PLASTICS Jura;CJ;08/10/2007 02:00;;100.00%;E;122969;;RENNES;Validé exécution;M5B;C175543
14992640ZW;JM5;A;POMMEAU CUIR;48985U  01;BOURBON AUTOMOTIVE PLASTICS;A000YP  01;BOURBON AUTOMOTIVE PLASTICS Jura;CJ;08/10/2007 02:00;;100.00%;E;122970;;RENNES;Validé exécution;M5B;C175543
7703008141;JM5;A;VIS RLX M6 L20;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;26/05/2005 02:00;;100.00%;E;122971;;RENNES;Validé exécution;M3V;C002704
